
42","42 Coin","42"
BLK","BlackCoin","BLK"
SWT","Swarm City Token","SWT"
MUE","MonetaryUnit","MUE"
PART","Particl","PART"
CLOAK","CloakCoin","CLOAK"
NEBL","Neblio","NEBL"
SPHR","Sphere Coin","SPHR"
BLOCK","BlockNet","BLOCK"
BOXY","BoxyCoin","BOXY"
XLR","Solaris","XLR"
CFT","CryptoForecast","CFT"
MEC","MegaCoin","MEC"
SCORE","Scorecoin","SCORE"
BURST","BurstCoin","BURST"
PASC","Pascal Coin","PASC"
DPP","Digital Assets Power Play","DPP"
XDC","XinFin Coin","XDC"
LOAN","Lendoit","LOAN"
DBR","Düber","DBR"
QTUM","QTUM","QTUM"
BTCS","Bitcoin Scrypt","BTCS"
BIO","Biocoin","BIO"
UTN","Universa","UTN"
EXY","Experty","EXY"
HAC","Hackspace Capital","HAC"
NEO","NEO","NEO"
BTCL*","BitluckCoin","BTCL*"
BTCL","BTC Lite","BTCL"
PCN","PeepCoin","PCN"
MUSIC","Musicoin","MUSIC"
TGT","TargetCoin","TGT"
BMT","BMChain","BMT"
CJT","ConnectJob Token","CJT"
STH","SmartHoldem","STH"
XMRG","Monero Gold","XMRG"
XGB","GoldenBird","XGB"
COB","Cobinhood","COB"
DENT","Dent","DENT"
VEE","BLOCKv","VEE"
BCAP","Blockchain Capital","BCAP"
MKR","Maker","MKR"
HGT","Hello Gold","HGT"
CAPP","Cappasity","CAPP"
TFL","True Flip Lottery","TFL"
STAR","Starbase","STAR"
HDG","Hedge Token","HDG"
FYN","FundYourselfNow","FYN"
HBT","Hubiit","HBT"
SIFT","Smart Investment Fund Token","SIFT"
RBTC","Bitcoin Revolution","RBTC"
GIM","Gimli","GIM"
TIE","Ties Network","TIE"
H2O","Hydrominer","H2O"
EVC","Eventchain","EVC"
EGAS","ETHGAS","EGAS"
CASH","CashCoin","CASH"
WABI","WaBi","WABI"
LNK","Ethereum.Link","LNK"
ILCT","ILCoin Token","ILCT"
ROCK*","RocketCoin ","ROCK*"
NGC","NagaCoin","NGC"
SPHTX","SophiaTX","SPHTX"
CLOUT","Clout","CLOUT"
CMPCO","CampusCoin","CMPCO"
MEDI","MediBond","MEDI"
NEOG","NEO Gold","NEOG"
EMT","EasyMine","EMT"
CRED","Verify","CRED"
PING","CryptoPing","PING"
RPC","RonPaulCoin","RPC"
ITT","Intelligent Trading Technologies","ITT"
PIE","Persistent Information Exchange","PIE"
MAT","MiniApps","MAT"
SBTC","Super Bitcoin","SBTC"
KLK","Kalkulus","KLK"
AC3","AC3","AC3"
TNB","Time New Bank","TNB"
CHIPS","CHIPS","CHIPS"
HKN","Hacken","HKN"
B2BX","B2B","B2BX"
LOC*","LockChain","LOC*"
PTC*","Propthereum","PTC*"
SNOV","Snovio","SNOV"
SND","Sandcoin","SND"
QVT","Qvolta","QVT"
REAL","REAL","REAL"
HRB","Harbour DAO","HRB"
FRST","FirstCoin","FRST"
WRC","Worldcore","WRC"
SMT*","SmartMesh","SMT*"
UNB","UnbreakableCoin","UNB"
CABS*","CyberTrust","CABS*"
OST","SimpleToken","OST"
EMGO","MobileGo","EMGO"
EBTC","eBitcoin","EBTC"
NEU*","NeuCoin","NEU*"
ETF","EthereumFog","ETF"
BCX*","BitcoinX","BCX*"
STAK","Straks","STAK"
NEU","Neumark","NEU"
ETN","Electroneum","ETN"
GER","GermanCoin","GER"
XDN","DigitalNote ","XDN"
FST","FastCoin","FST"
BCOIN","BannerCoin","BCOIN"
LTCU","LiteCoin Ultra","LTCU"
CANN","CannabisCoin","CANN"
SLS","SaluS","SLS"
BTCA","Bitair","BTCA"
ITNS","IntenseCoin","ITNS"
GTO","GIFTO","GTO"
BUZZ","BuzzCoin","BUZZ"
SRN","SirinLabs","SRN"
REA","Realisto","REA"
GFT","Giftcoin","GFT"
CCOS","CrowdCoinage","CCOS"
RIPT","RiptideCoin","RIPT"
LUX**","Luxmi Coin","LUX**"
BNTY","Bounty0x","BNTY"
CAN","CanYaCoin","CAN"
GLA","Gladius","GLA"
MNT*","Media Network Coin","MNT*"
CAT1","Catcoin","CAT1"
BKX","BANKEX","BKX"
AUTH","Authoreon","AUTH"
ODMC","ODMCoin","ODMC"
ADST","Adshares","ADST"
XIN","Infinity Economics","XIN"
MED*","MediBloc","MED*"
LBTC","LiteBitcoin","LBTC"
FLVR","FlavorCoin","FLVR"
MEME","Pepe","MEME"
BIS","Bismuth","BIS"
ALQO","Alqo","ALQO"
GRWI","Growers International","GRWI"
EDRC","EDRCoin","EDRC"
KRB","Karbowanec","KRB"
EMC","Emercoin","EMC"
RED","Redcoin","RED"
ICC","Insta Cash Coin","ICC"
ALEX","Alexandrite","ALEX"
ZSE","ZSEcoin","ZSE"
VTC","VertCoin","VTC"
BDG","BitDegree","BDG"
LOCI","LociCoin","LOCI"
WEB","Webcoin","WEB"
VSX","Vsync","VSX"
CNBC","Cash & Back Coin","CNBC"
XUN","UltraNote","XUN"
XVG","Verge","XVG"
DAT","Datum","DAT"
POP","PopularCoin","POP"
CRC*","CrowdCoin","CRC*"
PNX","PhantomX","PNX"
BAS","BitAsean","BAS"
DBC","DeepBrain Chain","DBC"
STORM","Storm","STORM"
UTT","United Traders Token","UTT"
HBC","HomeBlockCoin","HBC"
AMM","MicroMoney","AMM"
CZC","Crazy Coin","CZC"
COV","Covesting","COV"
TRX","Tronix","TRX"
DAV","DavorCoin","DAV"
XCPO","Copico","XCPO"
GET","Guaranteed Entrance Token","GET"
ERC20","Index ERC20","ERC20"
ITC","IoT Chain","ITC"
DEB","Debitum Token","DEB"
TIO","Trade.io","TIO"
ETK","Energi Token","ETK"
ABYSS","The Abyss","ABYSS"
MCO","Monaco","MCO"
NMS","Numus","NMS"
PHO","Photon","PHO"
DSR","Desire","DSR"
DTT","DreamTeam Token","DTT"
MNZ","Monaize","MNZ"
AXT","AIX","AXT"
AVE","Avesta","AVE"
BCN","ByteCoin","BCN"
BTE","ByteCoin","BTE"
TAU","Lamden Tau","TAU"
SUCR","Sucre","SUCR"
SMART*","SmartBillions","SMART*"
TKT","Crypto Tickets","TKT"
LBC","LBRY Credits","LBC"
GNX","Genaro Network","GNX"
SMT","Social Media Market","SMT"
ACCO","Accolade","ACCO"
BTH","Bytether ","BTH"
UTK","Utrust","UTK"
NAS","Nebulas","NAS"
REM","REMME","REM"
TOK","TokugawaCoin","TOK"
EREAL","eREAL","EREAL"
CPN","CompuCoin","CPN"
XFT","Footy Cash","XFT"
UCASH","U.CASH","UCASH"
NET*","Nimiq Exchange Token","NET*"
QLC","QLINK","QLC"
BTE*","BitSerial","BTE*"
OMGC","OmiseGO Classic","OMGC"
Q2C","QubitCoin","Q2C"
GAT","GATCOIN","GAT"
KIN","Kin","KIN"
BLT","Bloom Token","BLT"
WAX","Worldwide Asset eXchange","WAX"
WISH","MyWish","WISH"
WISH* 1","WishFinance","WISH* 1"
SPF","SportyFi","SPF"
PAC","PacCoin","PAC"
WLK","Wolk","WLK"
ORE","Galactrum","ORE"
SPK","Sparks","SPK"
GOA","GoaCoin","GOA"
FLS","Fuloos Coin","FLS"
PHILS","PhilsCurrency","PHILS"
GUN","GunCoin","GUN"
STAC","StarterCoin","STAC"
CAT*","BlockCAT","CAT*"
CAT","BitClave","CAT"
DFS","DFSCoin","DFS"
FLP","Gameflip","FLP"
SAN","Santiment","SAN"
WPR","WePower","WPR"
POLIS","PolisPay","POLIS"
GRS","Groestlcoin ","GRS"
HQX","HOQU","HQX"
REBL","Rebellious","REBL"
CL","CoinLancer","CL"
BRD","Bread token","BRD"
SHND","StrongHands","SHND"
RMC","Russian Mining Coin","RMC"
AEON","AeonCoin","AEON"
AUA","ArubaCoin","AUA"
ELF","aelf","ELF"
SAGA","SagaCoin","SAGA"
GXS","GXShares","GXS"
GES","Galaxy eSolutions","GES"
TSL","Energo","TSL"
IRL","IrishCoin","IRL"
BOT","Bodhi","BOT"
APPC","AppCoins","APPC"
PMA","PumaPay","PMA"
XBY","XtraBYtes","XBY"
WELL","Well","WELL"
TROLL","Trollcoin","TROLL"
FOR","Force Coin","FOR"
SGR","Sugar Exchange","SGR"
JNT","Jibrel Network Token","JNT"
EVN","Envion","EVN"
ADB","Adbank","ADB"
NTK","Neurotoken","NTK"
GENE","PARKGENE","GENE"
JET","Jetcoin","JET"
MDS","MediShares","MDS"
LCP","Litecoin Plus","LCP"
GTC","Game","GTC"
IETH","iEthereum","IETH"
NTWK","Network Token","NTWK"
GCC*","TheGCCcoin","GCC*"
FNT","FinTab","FNT"
SDRN","Sanderon","SDRN"
HAT","Hawala.Today","HAT"
DARICO","Darico","DARICO"
INK","Ink","INK"
KBR","Kubera Coin","KBR"
HPB","High Performance Blockchain","HPB"
INS","INS Ecosystem","INS"
MONK","Monkey Project","MONK"
GLD","GoldCoin","GLD"
JINN","Jinn","JINN"
SET","Setcoin","SET"
MGN","MagnaCoin","MGN"
KZ","KZCash","KZ"
AID","AidCoin","AID"
GNR","Gainer","GNR"
VLR","Valorem","VLR"
LWF","Local World Forwarders","LWF"
FLOT","FireLotto","FLOT"
X8X","X8Currency","X8X"
CWX","Crypto-X","CWX"
MTRC","ModulTrade","MTRC"
KEY","SelfKey","KEY"
WIZ","Crowdwiz","WIZ"
CAV","Caviar","CAV"
BAR","TBIS token","BAR"
XTRA","ExtraCredit","XTRA"
ATFS","ATFS Project","ATFS"
PYP","PayPro","PYP"
SCR","Scorum","SCR"
HION","Handelion","HION"
SETH","Sether","SETH"
DTT*","Data Trading","DTT*"
COFI","CoinFi","COFI"
EARTH","Earth Token","EARTH"
GEA","Goldea","GEA"
EOS","EOS","EOS"
BRC","BrightCoin","BRC"
HTML","HTML Coin","HTML"
WCG","World Crypto Gold","WCG"
GAMEX","GameX","GAMEX"
FLAT","Future Loan Access Tokens","FLAT"
LIFE","LIFE","LIFE"
SYMM","Symmetry Fund","SYMM"
NPX","Napoleon X","NPX"
LNC","BlockLancer","LNC"
LUCK","Luckbox","LUCK"
